open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
944.2507,945.7243,927.2084,934.7868,3136859.75,000688.SH,2023-09-01,NA,NA,CNY
935.8206,942.4528,927.58,942.4276,3747208.49,000688.SH,2023-09-04,NA,NA,CNY
942.5562,947.9514,929.2516,930.6288,3798576.36,000688.SH,2023-09-05,NA,NA,CNY
926.25,936.8839,920.2453,934.6043,3663715.87,000688.SH,2023-09-06,NA,NA,CNY
929.3581,929.3581,899.2969,899.8284,4226815.92,000688.SH,2023-09-07,NA,NA,CNY
895.5038,906.3371,894.3994,901.5063,2845406.18,000688.SH,2023-09-08,NA,NA,CNY
901.5418,915.9892,895.6224,907.505,3308971.15,000688.SH,2023-09-11,NA,NA,CNY
905.9151,909.839,901.38,901.6221,2273159.37,000688.SH,2023-09-12,NA,NA,CNY
900.0035,902.5219,882.911,889.1316,2430378.52,000688.SH,2023-09-13,NA,NA,CNY
888.2602,892.7922,877.8223,880.8019,2208300.0,000688.SH,2023-09-14,NA,NA,CNY
883.0739,893.9109,876.6237,887.0132,3266678.26,000688.SH,2023-09-15,NA,NA,CNY
881.3829,888.6801,876.9104,879.5336,2785976.5,000688.SH,2023-09-18,NA,NA,CNY
879.3453,880.2619,870.6621,873.6178,2000764.05,000688.SH,2023-09-19,NA,NA,CNY
870.032,876.9029,865.7926,866.0227,1739036.68,000688.SH,2023-09-20,NA,NA,CNY
862.6379,869.8602,860.3113,860.3941,1802359.72,000688.SH,2023-09-21,NA,NA,CNY
860.7277,883.2572,859.0872,882.8781,2827573.95,000688.SH,2023-09-22,NA,NA,CNY
880.3172,881.6997,874.205,874.5545,2340697.41,000688.SH,2023-09-25,NA,NA,CNY
876.2581,884.0215,873.9835,876.051,2230990.59,000688.SH,2023-09-26,NA,NA,CNY
875.4349,886.6707,875.4349,880.17,2753426.1,000688.SH,2023-09-27,NA,NA,CNY
880.3943,890.0735,878.5871,887.7997,2437334.79,000688.SH,2023-09-28,NA,NA,CNY
884.2036,890.9539,880.3388,887.2116,2476842.26,000688.SH,2023-10-09,NA,NA,CNY
888.1459,892.4769,881.8362,882.0437,3050811.27,000688.SH,2023-10-10,NA,NA,CNY
885.6277,895.1551,883.656,893.4484,3471046.13,000688.SH,2023-10-11,NA,NA,CNY
896.0022,901.4727,891.1662,899.984,3229279.36,000688.SH,2023-10-12,NA,NA,CNY
895.4675,897.151,888.5398,891.7201,2727265.14,000688.SH,2023-10-13,NA,NA,CNY
890.4828,890.942,870.6073,874.0259,2721302.72,000688.SH,2023-10-16,NA,NA,CNY
874.282,884.9121,871.7941,882.1911,2398021.35,000688.SH,2023-10-17,NA,NA,CNY
884.7064,884.9287,869.448,869.7616,2912512.7,000688.SH,2023-10-18,NA,NA,CNY
864.4591,879.5542,864.0585,870.1011,4130300.14,000688.SH,2023-10-19,NA,NA,CNY
865.7751,872.7992,861.0837,861.8093,3921391.6,000688.SH,2023-10-20,NA,NA,CNY
857.4821,859.9884,836.6401,840.1434,3359593.29,000688.SH,2023-10-23,NA,NA,CNY
844.085,858.2946,839.0805,850.6142,3343726.3,000688.SH,2023-10-24,NA,NA,CNY
859.765,862.2045,848.6462,848.6462,2931698.09,000688.SH,2023-10-25,NA,NA,CNY
841.9871,850.9947,837.468,849.3091,2820963.29,000688.SH,2023-10-26,NA,NA,CNY
843.8765,866.5435,842.5992,861.8515,3626486.05,000688.SH,2023-10-27,NA,NA,CNY
862.1168,881.8794,860.402,878.1287,4938750.51,000688.SH,2023-10-30,NA,NA,CNY
882.4265,882.5592,869.0197,874.4056,3780108.33,000688.SH,2023-10-31,NA,NA,CNY
874.0396,878.3267,868.4489,869.9184,3550634.35,000688.SH,2023-11-01,NA,NA,CNY
871.5508,875.2649,859.8892,859.9318,3074923.43,000688.SH,2023-11-02,NA,NA,CNY
861.5448,877.0862,861.5448,875.3725,3629716.28,000688.SH,2023-11-03,NA,NA,CNY
880.603,891.5645,880.603,890.2065,5026304.38,000688.SH,2023-11-06,NA,NA,CNY
887.2043,892.9885,883.7522,891.456,4104059.04,000688.SH,2023-11-07,NA,NA,CNY
890.8733,905.9381,889.8892,899.6255,5469783.24,000688.SH,2023-11-08,NA,NA,CNY
897.9307,904.5864,891.4902,893.7984,5226809.78,000688.SH,2023-11-09,NA,NA,CNY
888.9868,894.6326,885.2974,889.7498,3607259.44,000688.SH,2023-11-10,NA,NA,CNY
893.5003,897.11,888.5499,896.5513,3236849.82,000688.SH,2023-11-13,NA,NA,CNY
895.8138,904.7117,893.2805,904.3413,4118500.32,000688.SH,2023-11-14,NA,NA,CNY
912.6266,913.1959,900.6181,902.1802,4045405.39,000688.SH,2023-11-15,NA,NA,CNY
898.7438,900.1495,886.7666,887.1105,3109482.67,000688.SH,2023-11-16,NA,NA,CNY
886.673,891.9482,884.5137,891.3803,2410327.68,000688.SH,2023-11-17,NA,NA,CNY
890.8977,896.0735,883.0271,892.631,3393776.06,000688.SH,2023-11-20,NA,NA,CNY
892.9197,896.9596,884.5996,884.8949,3056169.4,000688.SH,2023-11-21,NA,NA,CNY
881.9566,884.7083,870.7602,870.7602,2664143.51,000688.SH,2023-11-22,NA,NA,CNY
869.8532,878.451,866.6299,877.7703,2705539.77,000688.SH,2023-11-23,NA,NA,CNY
875.5802,876.2576,863.8495,864.7739,2546493.25,000688.SH,2023-11-24,NA,NA,CNY
864.2671,869.8663,861.384,868.0296,3849636.73,000688.SH,2023-11-27,NA,NA,CNY
868.8115,873.656,863.8138,871.9061,3614161.31,000688.SH,2023-11-28,NA,NA,CNY
870.4,872.8965,862.0363,862.0363,3644852.54,000688.SH,2023-11-29,NA,NA,CNY
861.51,865.6845,857.6322,865.6845,4469156.32,000688.SH,2023-11-30,NA,NA,CNY
863.3343,869.8201,856.4403,867.5364,3641116.15,000688.SH,2023-12-01,NA,NA,CNY
867.834,873.5092,861.9198,861.9198,3321884.82,000688.SH,2023-12-04,NA,NA,CNY
859.4851,859.4851,845.6048,845.7994,3351163.71,000688.SH,2023-12-05,NA,NA,CNY
843.8152,852.3061,842.5904,848.7905,3927120.97,000688.SH,2023-12-06,NA,NA,CNY
847.102,850.0813,839.0318,847.4761,4578669.52,000688.SH,2023-12-07,NA,NA,CNY
849.1607,868.2335,847.9267,868.2335,7657725.28,000688.SH,2023-12-08,NA,NA,CNY
859.9741,880.0279,854.805,878.5159,4731028.03,000688.SH,2023-12-11,NA,NA,CNY
876.6896,877.8266,866.8407,869.9667,3348071.87,000688.SH,2023-12-12,NA,NA,CNY
868.8664,875.1919,861.0318,861.2509,3289831.64,000688.SH,2023-12-13,NA,NA,CNY
865.0919,869.2943,855.4293,855.8981,2636430.73,000688.SH,2023-12-14,NA,NA,CNY
857.0101,859.2501,846.823,847.507,2752036.35,000688.SH,2023-12-15,NA,NA,CNY
845.5383,847.5862,838.3173,840.6807,2574398.94,000688.SH,2023-12-18,NA,NA,CNY
839.6436,850.4069,838.2057,845.8585,2494530.26,000688.SH,2023-12-19,NA,NA,CNY
847.2721,847.5884,835.3058,835.7127,2302437.19,000688.SH,2023-12-20,NA,NA,CNY
832.3701,850.993,831.9265,847.8169,3167905.1,000688.SH,2023-12-21,NA,NA,CNY
846.6663,851.479,839.7871,843.3183,3296478.59,000688.SH,2023-12-22,NA,NA,CNY
840.3789,845.5627,834.4294,837.2221,2755846.35,000688.SH,2023-12-25,NA,NA,CNY
836.5314,836.6613,822.4352,825.2578,2304131.04,000688.SH,2023-12-26,NA,NA,CNY
826.8309,833.8106,826.165,830.0574,2655369.51,000688.SH,2023-12-27,NA,NA,CNY
828.4013,853.4909,828.3423,850.3851,4551351.7,000688.SH,2023-12-28,NA,NA,CNY
849.611,854.8785,848.3257,852.0047,3366221.23,000688.SH,2023-12-29,NA,NA,CNY
850.9687,850.9687,839.8012,839.8012,2755957.47,000688.SH,2024-01-02,NA,NA,CNY
838.3022,842.1976,827.1787,829.7721,2570182.26,000688.SH,2024-01-03,NA,NA,CNY
831.2304,831.5542,817.7469,823.8475,2626625.2,000688.SH,2024-01-04,NA,NA,CNY
820.3966,825.9385,803.4009,807.7294,2760403.75,000688.SH,2024-01-05,NA,NA,CNY
802.895,804.5987,783.7367,784.4332,2952396.08,000688.SH,2024-01-08,NA,NA,CNY
786.4801,793.5978,777.5601,782.9263,2975490.41,000688.SH,2024-01-09,NA,NA,CNY
779.08,790.3581,771.5837,777.1526,2814458.1,000688.SH,2024-01-10,NA,NA,CNY
775.3721,793.1363,775.1849,789.864,2833624.27,000688.SH,2024-01-11,NA,NA,CNY
788.0254,790.3773,778.1067,778.3583,2998294.0,000688.SH,2024-01-12,NA,NA,CNY
774.9573,784.1906,770.9793,773.4051,2604400.86,000688.SH,2024-01-15,NA,NA,CNY
771.8404,777.53,765.4271,777.4032,3065150.34,000688.SH,2024-01-16,NA,NA,CNY
775.8641,776.226,757.0449,757.0449,2496748.07,000688.SH,2024-01-17,NA,NA,CNY
752.2862,769.1193,741.3381,768.2821,4107359.21,000688.SH,2024-01-18,NA,NA,CNY
767.2392,773.1497,762.2642,765.4702,3162089.54,000688.SH,2024-01-19,NA,NA,CNY
763.6012,764.6242,735.4063,742.2271,3586378.23,000688.SH,2024-01-22,NA,NA,CNY
738.3826,754.649,733.4793,749.7431,3594882.49,000688.SH,2024-01-23,NA,NA,CNY
753.0097,754.2197,728.3654,750.2748,3594056.75,000688.SH,2024-01-24,NA,NA,CNY
749.1329,768.0234,742.932,765.7908,4508049.12,000688.SH,2024-01-25,NA,NA,CNY
759.9374,762.1842,742.9311,746.0958,3472791.73,000688.SH,2024-01-26,NA,NA,CNY
748.2643,754.5865,725.3074,725.3074,4505827.09,000688.SH,2024-01-29,NA,NA,CNY
