date,entry_date,shares_eoy,nav_eoy,nav_per_share,shares_change_pct,shares_change_abs,ret_30d,ret_90d,ret_180d,ret_252d,ret_90d_ann,ret_180d_ann,ret_252d_ann,past_90d_ret
2020-09-28,2020-11-16,51.23,51.34,1.465,,,-5.255972696245747,0.7508532423208036,-6.689419795221852,10.307167235494873,2.10238907849825,-9.365187713310592,10.307167235494873,
2020-11-09,2020-11-16,35.58,52.84,1.465,-30.548506734335344,-15.649999999999999,-5.255972696245747,0.7508532423208036,-6.689419795221852,10.307167235494873,2.10238907849825,-9.365187713310592,10.307167235494873,
2020-12-31,2020-12-31,86.77,124.58,1.434,143.87296233839234,51.19,2.301255230125543,-10.460251046025103,13.04044630404464,1.3947001394700065,-29.288702928870286,18.256624825662495,1.3947001394700065,
2021-03-31,2021-03-31,140.98,181.18,1.284,62.475509968883244,54.209999999999994,6.230529595015577,26.246105919003114,10.903426791277248,14.330218068535828,73.48909657320871,15.264797507788145,14.330218068535828,-8.481824661439774
2021-06-30,2021-06-30,122.15,201.08,1.648,-13.356504468718954,-18.829999999999984,0.1820388349514701,-14.623786407766982,-14.381067961165039,-28.155339805825243,-40.946601941747545,-20.133495145631052,-28.155339805825243,26.47735993860323
2021-09-30,2021-09-30,156.73,222.79,1.423,28.309455587392527,34.579999999999984,2.5298664792691605,-0.9135628952916419,-20.94167252283907,-20.73085031623332,-2.5579761068165974,-29.318341531974696,-20.73085031623332,-12.376847290640402
2021-12-31,2021-12-31,142.36,206.89,1.452,-9.16863395648566,-14.369999999999976,-11.570247933884293,-21.694214876033058,-21.48760330578513,-25.413223140495866,-60.74380165289256,-30.082644628099178,-25.413223140495866,3.418803418803429
2022-03-31,2022-03-31,198.97,226.21,1.137,39.76538353470074,56.609999999999985,-12.576956904133684,0.26385224274405594,-10.378188214599838,-8.179419525065956,0.7387862796833566,-14.529463500439773,-8.179419525065956,-20.489510489510486
2022-06-30,2022-06-30,244.54,282.57,1.155,22.90295019349651,45.56999999999999,-0.08658008658010141,-13.506493506493511,-13.07359307359307,-9.870129870129873,-37.81818181818183,-18.303030303030297,-9.870129870129873,1.58311345646438
2022-09-30,2022-09-30,298.96,293.46,0.981,22.254027970884096,54.41999999999999,8.053007135575951,2.3445463812436396,12.436289500509679,9.78593272171253,6.564729867482191,17.410805300713548,9.78593272171253,-14.917606244579362
2022-12-31,2023-01-03,507.85,508.27,1.023,69.87222370885739,208.89000000000004,5.0830889540566915,14.271749755620732,3.128054740957964,-7.624633431085037,39.96089931573805,4.37927663734115,-7.624633431085037,9.76394849785407
2023-03-31,2023-03-31,498.67,560.59,1.124,-1.807620360342621,-9.180000000000007,-1.3345195729537518,-6.850533807829196,-17.70462633451958,-19.03914590747331,-19.181494661921747,-24.786476868327412,-19.03914590747331,12.063808574277202
2023-06-30,2023-06-30,639.52,671.92,1.052,28.245132051256338,140.84999999999997,-3.5171102661597065,-11.406844106463875,-17.015209125475284,-20.057034220532323,-31.93916349809885,-23.821292775665395,-20.057034220532323,-6.4056939501779375
2023-09-30,2023-10-09,1016.4,946.73,0.93,58.93169877408055,376.88,1.3978494623655857,-11.397849462365606,-16.344086021505376,-14.623655913978496,-31.913978494623695,-22.881720430107524,-14.623655913978496,-10.490856592877751
2023-12-31,2024-01-02,1040.83,933.78,0.886,2.403581267217625,24.42999999999995,-18.05869074492099,-8.239277652370214,-16.139954853273142,-21.896162528216713,-23.069977426636598,-22.595936794582396,-21.896162528216713,-4.112554112554112
2024-03-31,2024-04-01,911.77,729.32,0.813,-12.39971945466598,-129.05999999999995,0.0,-8.610086100861004,16.85116851168511,29.64329643296435,-24.10824108241081,23.591635916359152,29.64329643296435,-9.364548494983282
2024-06-30,2024-07-01,960.28,716.13,0.743,5.320420720137764,48.50999999999999,4.71063257065949,27.86002691790039,44.952893674293406,56.52759084791388,78.00807537012109,62.934051144010766,56.52759084791388,-8.610086100861004
2024-09-30,2024-09-30,1009.83,923.62,0.95,5.159953346940482,49.55000000000007,6.105263157894747,13.368421052631586,13.052631578947382,10.842105263157897,37.431578947368436,18.273684210526334,10.842105263157897,29.958960328317374
2024-12-31,2024-12-31,891.12,929.31,1.045,-11.75544398562135,-118.71000000000004,-0.7655502392344471,2.775119617224897,1.0526315789473717,25.071770334928225,7.770334928229711,1.4736842105263204,25.071770334928225,-4.653284671532864
2025-03-31,2025-03-31,767.91,824.37,1.074,-13.82642068408295,-123.21000000000004,-1.1173184357541888,-1.6759776536312887,43.66852886405957,32.21601489757913,-4.692737430167608,61.13594040968339,32.21601489757913,0.0
2025-06-30,2025-06-30,789.64,833.43,1.056,2.8297586956804954,21.730000000000018,5.303030303030298,46.11742424242422,34.185606060606055,38.731060606060595,129.12878787878782,47.85984848484848,38.731060606060595,-1.8587360594795599
2025-09-30,2025-09-30,481.75,756.2,1.57,-38.99118585684616,-307.89,-2.2292993630573354,-9.745222929936304,-13.439490445859882,11.783439490445847,-27.28662420382165,-18.815286624203832,11.783439490445847,51.54440154440154
2025-12-31,2025-12-31,537.1,760.22,1.417,11.489361702127665,55.35000000000002,12.067748764996477,-6.5631616090331635,,,-18.376852505292856,,,-12.422744128553775
2026-03-31,2026-03-31,517.89,685.48,1.324,-3.5766151554645353,-19.210000000000036,24.924471299093653,,,,,,,-6.694855532064836
